scanning_run;onset;duration;trial_type;stim_file;jitter;concept
1;2,257706527;3,5;affective_unlikable;socialcon_audios.unforgiving_r.wav;6,5;Unforgiving
1;14,57777838;3,5;nonaffective_likable;socialcon_audios.understanding.wav;7;Understanding
1;27,82776397;3,5;affective_likable;socialcon_audios.empathetic_r.wav;6;Empathetic
1;40,07775994;3,5;nonaffective_unlikable;socialcon_audios.boring_r.wav;6;Boring
1;52,29773162;3,5;nonaffective_likable;socialcon_audios.conscientious_r.wav;6;Conscientious
1;64,11772439;3,5;affective_unlikable;socialcon_audios.snobbish.wav;6;Snobbish
1;75,88769566;3,5;nonaffective_unlikable;socialcon_audios.lazy.wav;6;Lazy
1;87,69767002;3,5;affective_likable;socialcon_audios.good-natured.wav;6;Good-natured
1;99,51764151;3,5;nonaffective_unlikable;socialcon_audios.prejudiced_r.wav;6;Prejudiced
1;111,7376201;3,5;affective_likable;socialcon_audios.sympathetic.wav;6;Sympathetic
1;123,8476387;3,5;affective_unlikable;socialcon_audios.envious.wav;6;Envious
1;136,0976203;3,5;nonaffective_likable;socialcon_audios.forgiving_r.wav;6,5;Forgiving
1;148,6375634;3,5;affective_unlikable;socialcon_audios.neurotic.wav;6;Neurotic
1;160,8875369;3,5;affective_likable;socialcon_audios.cheerful.wav;7,5;Cheerful
1;174,2074982;3,5;nonaffective_likable;socialcon_audios.loyal_r.wav;8;Loyal
1;188,457474;3,5;nonaffective_unlikable;socialcon_audios.greedy_r.wav;7,5;Greedy
1;202,207462;3,5;nonaffective_likable;socialcon_audios.sincere_r.wav;6;Sincere
1;214,0374351;3,5;affective_likable;socialcon_audios.warm-hearted.wav;6;Warm-hearted
1;225,8574167;3,5;affective_unlikable;socialcon_audios.insensitive_r.wav;7;Insensitive
1;238,6773952;3,5;nonaffective_unlikable;socialcon_audios.hostile_r.wav;6;Hostile
1;250,5073669;3,5;nonaffective_unlikable;socialcon_audios.rude_r.wav;6,5;Rude
1;262,8273463;3,5;nonaffective_likable;socialcon_audios.unselfish_r.wav;6;Unselfish
1;274,987306;3,5;affective_unlikable;socialcon_audios.hot-tempered.wav;6;Hot-tempered
1;287,2372919;3,5;affective_likable;socialcon_audios.kind.wav;6;Kind
1;299,4772663;3,5;affective_likable;socialcon_audios.sensible_r.wav;7;Sensible
1;312,457239;3,5;nonaffective_likable;socialcon_audios.helpful_r.wav;6;Helpful
1;324,2772717;3,5;affective_unlikable;socialcon_audios.resentful.wav;6,5;Resentful
1;336,6071836;3,5;nonaffective_unlikable;socialcon_audios.phony_r.wav;6,5;Phony
1;348,9371992;3,5;nonaffective_unlikable;socialcon_audios.selfish_r.wav;6;Selfish
1;361,1871223;3,5;affective_likable;socialcon_audios.enthusiastic.wav;6;Enthusiastic
1;373,0070872;3,5;nonaffective_likable;socialcon_audios.intelligent.wav;7;Intelligent
